unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,Alappuzha,RMC,Ready mix concrete supplier,A ONE CONCRETE SOLUTION,,,"CHEMPUZHA, Devankulangara, Mamangalam, Edappally, Ernakulam, Kerala 682024",Ernakulam,Kerala,682024,0,,4110115477103531214,,,,,,,,,,,
,,,,,Alappuzha,RMC,Concrete product supplier,CP-30 RMC PLANT,https://www.sccgroup.co.in/,,"65RV%2BF8X, Kavi Nagar, Kodungallur, Kerala 680664",Kodungallur,Kerala,680664,0,,12216435969000625707,,,,,,,,,,,
,,,,,Idukki,RMC,Ready mix concrete supplier,Idukki Ready-Mix Concrete,http://www.idukkirmc.com/,070340 00155,"Kanjirappally-Manimala Road Chirakadavu, PO, Kanjirappally, Kerala 686520",Kanjirappally,Kerala,686520,28,4.7,3936704889168836007,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Car rental agency,"EVM WHEELS, Self Drive Rent A Car Company in Alappuzha/Alleppey, Kerala.",http://www.evmwheels.com/,079028 10000,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Scooter rental service,Casabella Rental Scooter | Bike Rent In Alleppey | Scooters For Rent In Alappuzha,https://casabellarentalbike.com/,090377 77881,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Condominium rental agency,For rent,http://www.alleppeyproperty.com/,,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Motorcycle rental agency,New Seiko Tours | Alleppey Bike Rentals Rental Scooter alappuzha | Bike Rent In Alleppey | Homestay & Rooms alappuzha,https://www.newseikotours.com/,099479 93332,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Wedding dress rental service,Vivah Wedding & Party Rental Alappuzha,,089212 17340,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,Alleppey Houseboats | Alleppey Boat House - Waves and Dales Alleppey Houseboat,http://www.wavesanddales.com/,087141 98338,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Wedding dress rental service,Posh Wedding Rental Alappuzha,https://www.poshweddingrental.com/,081369 72220,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Car leasing service,Royal Wedding Cars,https://wa.link/0dotz9,097463 99382,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Scooter rental service,alleppey bike rentals/Nanni Tours and Travels,http://www.nannibikerentals.com/,098950 39767,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Transportation service,New Seiko tours and travels,http://www.newseikotours.com/,098479 93336,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,Alappuzha Boat House - Alleppey Boat House - Kerala Boat House,http://alappuzhaboathouse.org/,094969 40089,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,Alleppey Boathouse,http://www.alleppeyboathousebooking.com/,,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Car rental agency,Rent A Car,,,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Bridal shop,Izaash Premium Rentals Alappuzha,,,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,ToursInIndia,http://www.toursinindia.in/houseboats-in-alleppey/,070250 06776,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Corporate office,Rent a scooter,,077363 03700,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Scooter rental service,Alleppey Scooter/Bike Rentals,http://www.gokeralatravelcompany.com/,099959 17017,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Scooter rental service,"Kerala Trails Rent a Scooter , Bike & Houseboats",https://www.keralatrails.com/,098473 00003,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,Exotica Cruises,http://www.exoticahouseboatcruises.com/,096565 54666,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Car rental agency,Saji Solomon,,095392 05026,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,Alleppey lake Houseboat,https://www.alleppeylakehouseboat.com/,088488 73151,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Vacation home rental agency,Angels' Homestay Marari,,094975 31202,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RENTAL,Houseboat rental service,Boatsandrides Kerala,,,,,,,,,,,,,,,,,,,,
